,bee_typebee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,params,weights_filename,time,bee_id,bee_type,momentum,momentum_epochs
0,,-,0,[-15.01066579  12.11152309],4546045.53742175,4546045.53742175,1,2,,4.100799560546875e-05,0.0,EmployeeBee,0.0,0.0
1,,-,0,[  3.19252537 -28.24181967],147722.33425413113,147722.33425413113,1,2,,3.62396240234375e-05,1.0,EmployeeBee,0.0,0.0
2,,-,0,[2.71562606 1.12242064],3911.9491697828043,3911.9491697828043,1,2,,4.601478576660156e-05,2.0,EmployeeBee,0.0,0.0
3,,2,0,[2.71562606 1.7355118 ],3182.90301406281,3182.90301406281,1,2,,3.409385681152344e-05,0.0,OnlookerBee,0.0,0.0
4,,2,0,[2.71562606 1.88816352],3013.069202006491,3013.069202006491,1,2,,3.2901763916015625e-05,1.0,OnlookerBee,0.0,0.0
5,,2,0,[2.29588903 1.88816352],1146.109601124428,1146.109601124428,1,2,,2.9802322387695312e-05,2.0,OnlookerBee,0.0,0.0
6,,2,0,[2.29588903 2.19058409],950.64111800593,950.64111800593,1,2,,3.1948089599609375e-05,3.0,OnlookerBee,0.0,0.0
7,,-,1,[-30.          12.11152309],78835555.7436822,4546045.53742175,1,2,,3.1948089599609375e-05,0.0,EmployeeBee,0.0,0.0
8,,-,1,[ 19.86441844 -28.24181967],17879463.628307853,147722.33425413113,1,2,,3.0040740966796875e-05,1.0,EmployeeBee,0.0,0.0
9,,-,1,[-25.90564242  15.46535412],42986705.57333033,42986705.57333033,1,2,,3.0994415283203125e-05,2.0,EmployeeBee,0.0,0.0
10,,1,1,[-24.34830051 -28.24181967],38574872.6394336,147722.33425413113,1,2,,2.7894973754882812e-05,0.0,OnlookerBee,0.0,0.0
11,,1,1,[ 12.69619233 -28.24181967],3588703.241171973,147722.33425413113,1,2,,3.0040740966796875e-05,1.0,OnlookerBee,0.0,0.0
12,,1,1,[-11.42575357 -28.24181967],2521570.1520726364,147722.33425413113,1,2,,2.8848648071289062e-05,2.0,OnlookerBee,0.0,0.0
13,,1,1,[  7.39616631 -28.24181967],688029.8020471269,147722.33425413113,1,2,,2.47955322265625e-05,3.0,OnlookerBee,0.0,0.0
14,,-,2,[-30.          12.11152309],78835555.7436822,4546045.53742175,1,2,,2.7894973754882812e-05,0.0,EmployeeBee,0.0,0.0
15,,-,2,[-28.82308389 -14.80418185],71500487.01618943,71500487.01618943,1,2,,2.6702880859375e-05,1.0,EmployeeBee,0.0,0.0
16,,-,2,[-25.90564242 -18.7237993 ],47586729.88218138,42986705.57333033,1,2,,2.6226043701171875e-05,2.0,EmployeeBee,0.0,0.0
17,,0,2,[-15.01066579  -5.16345855],5312522.843715065,4546045.53742175,1,2,,2.5033950805664062e-05,0.0,OnlookerBee,0.0,0.0
18,,0,2,[-15.01066579  22.70430158],4105572.0135680027,4105572.0135680027,1,2,,2.6226043701171875e-05,1.0,OnlookerBee,0.0,0.0
19,,0,2,[-17.47863486  22.70430158],7997833.550506439,4105572.0135680027,1,2,,2.7894973754882812e-05,2.0,OnlookerBee,0.0,0.0
20,,0,2,[-15.01066579   2.2636448 ],4975674.006739488,4105572.0135680027,1,2,,2.574920654296875e-05,3.0,OnlookerBee,0.0,0.0
21,,-,3,[ -9.28240927 -17.43491959],1073361.1475751793,1073361.1475751793,1,2,,2.6941299438476562e-05,0.0,EmployeeBee,0.0,0.0
22,,-,3,[-18.95781719 -14.80418185],14003187.913869653,14003187.913869653,1,2,,3.4809112548828125e-05,1.0,EmployeeBee,0.0,0.0
23,,-,3,[-25.90564242  30.        ],41101940.973146684,41101940.973146684,1,2,,3.3855438232421875e-05,2.0,EmployeeBee,0.0,0.0
24,,0,3,[-9.28240927 -9.86965101],922335.0747274936,922335.0747274936,1,2,,3.1948089599609375e-05,0.0,OnlookerBee,0.0,0.0
25,,0,3,[-9.5226933  -9.86965101],1011167.8992725192,922335.0747274936,1,2,,3.123283386230469e-05,1.0,OnlookerBee,0.0,0.0
26,,0,3,[-9.28240927 -9.72998205],919654.4659641732,919654.4659641732,1,2,,2.47955322265625e-05,2.0,OnlookerBee,0.0,0.0
27,,0,3,[-9.28240927 -9.35988539],912570.2197045063,912570.2197045063,1,2,,2.8133392333984375e-05,3.0,OnlookerBee,0.0,0.0
28,,-,4,[-21.31537621  16.53745225],19168065.8965951,19168065.8965951,1,2,,3.0040740966796875e-05,0.0,EmployeeBee,0.0,0.0
29,,-,4,[-18.95781719 -11.61701683],13765674.364353154,13765674.364353154,1,2,,2.8848648071289062e-05,1.0,EmployeeBee,0.0,0.0
30,,-,4,[10.86239172 15.18956906],1056922.0755038394,1056922.0755038394,1,2,,2.5987625122070312e-05,2.0,EmployeeBee,0.0,0.0
31,,2,4,[10.86239172 15.55211492],1049481.1326609973,1049481.1326609973,1,2,,2.8848648071289062e-05,0.0,OnlookerBee,0.0,0.0
32,,2,4,[14.87227522 15.55211492],4228663.104844568,1049481.1326609973,1,2,,2.574920654296875e-05,1.0,OnlookerBee,0.0,0.0
33,,2,4,[ 7.75517155 15.55211492],198877.5329135745,198877.5329135745,1,2,,2.8133392333984375e-05,2.0,OnlookerBee,0.0,0.0
34,,2,4,[ 7.75517155 15.83662995],196348.29026537875,196348.29026537875,1,2,,2.7179718017578125e-05,3.0,OnlookerBee,0.0,0.0
35,,-,5,[-12.47706965  16.53745225],1936170.43957916,1936170.43957916,1,2,,2.6941299438476562e-05,0.0,EmployeeBee,0.0,0.0
36,,-,5,[ -8.67504204 -29.3399782 ],1094132.8862065317,1094132.8862065317,1,2,,5.6743621826171875e-05,1.0,EmployeeBee,0.0,0.0
37,,-,5,[-6.69412912 -6.89723791],267437.157118104,267437.157118104,1,2,,7.581710815429688e-05,2.0,EmployeeBee,0.0,0.0
38,,2,5,[-6.54219656 -6.89723791],247041.76878106777,247041.76878106777,1,2,,7.295608520507812e-05,0.0,OnlookerBee,0.0,0.0
39,,2,5,[-6.54888258 -6.89723791],247912.61333557905,247041.76878106777,1,2,,2.6941299438476562e-05,1.0,OnlookerBee,0.0,0.0
40,,2,5,[-6.45388696 -6.89723791],235764.78937282215,235764.78937282215,1,2,,2.9087066650390625e-05,2.0,OnlookerBee,0.0,0.0
41,,0,5,[-12.47706965  28.05460863],1628935.927339849,1628935.927339849,1,2,,5.1975250244140625e-05,3.0,OnlookerBee,0.0,0.0
42,,-,6,[-17.24539817   0.18494909],8834234.92773812,8834234.92773812,1,2,,3.600120544433594e-05,0.0,EmployeeBee,0.0,0.0
43,,-,6,[ -8.67504204 -30.        ],1107983.6209527235,1094132.8862065317,1,2,,2.9087066650390625e-05,1.0,EmployeeBee,0.0,0.0
44,,-,6,[27.14954314  7.43194578],53241894.0295248,53241894.0295248,1,2,,2.7179718017578125e-05,2.0,EmployeeBee,0.0,0.0
45,,1,6,[ -8.67504204 -12.95200891],778165.142434311,778165.142434311,1,2,,6.604194641113281e-05,0.0,OnlookerBee,0.0,0.0
46,,1,6,[ -4.96068879 -12.95200891],141114.21119125452,141114.21119125452,1,2,,3.4809112548828125e-05,1.0,OnlookerBee,0.0,0.0
47,,1,6,[  1.99551444 -12.95200891],28677.32060009218,28677.32060009218,1,2,,2.5987625122070312e-05,2.0,OnlookerBee,0.0,0.0
48,,1,6,[ -8.70866867 -12.95200891],788512.5018570962,28677.32060009218,1,2,,2.8133392333984375e-05,3.0,OnlookerBee,0.0,0.0
49,,-,7,[-8.01988126  0.18494909],411392.53446817916,411392.53446817916,1,2,,5.0067901611328125e-05,0.0,EmployeeBee,0.0,0.0
50,,-,7,[-27.71852513   1.24459528],58840776.22152015,58840776.22152015,1,2,,2.7894973754882812e-05,1.0,EmployeeBee,0.0,0.0
51,,-,7,[30.          7.43194578],79668614.14206024,53241894.0295248,1,2,,3.0279159545898438e-05,2.0,EmployeeBee,0.0,0.0
52,,0,7,[-4.8712976   0.18494909],55469.24946713988,55469.24946713988,1,2,,2.7894973754882812e-05,0.0,OnlookerBee,0.0,0.0
53,,0,7,[-3.44150529  0.18494909],13612.97737788623,13612.97737788623,1,2,,2.6702880859375e-05,1.0,OnlookerBee,0.0,0.0
54,,0,7,[-3.44150529  1.02658828],11721.277173698807,11721.277173698807,1,2,,2.574920654296875e-05,2.0,OnlookerBee,0.0,0.0
55,,0,7,[-3.17572707  1.02658828],8223.358210539363,8223.358210539363,1,2,,2.5272369384765625e-05,3.0,OnlookerBee,0.0,0.0
56,,-,8,[  2.92374599 -27.82881194],132333.05985435718,132333.05985435718,1,2,,2.6702880859375e-05,0.0,EmployeeBee,0.0,0.0
57,,-,8,[-30.           1.24459528],80777088.75220531,58840776.22152015,1,2,,2.6941299438476562e-05,1.0,EmployeeBee,0.0,0.0
58,,-,8,[13.59333041  7.43194578],3145343.287754793,3145343.287754793,1,2,,2.7179718017578125e-05,2.0,EmployeeBee,0.0,0.0
59,,0,8,[  7.11735982 -27.82881194],616036.7199038721,132333.05985435718,1,2,,2.7179718017578125e-05,0.0,OnlookerBee,0.0,0.0
60,,0,8,[  2.92374599 -29.82421373],147248.60979375045,132333.05985435718,1,2,,2.6941299438476562e-05,1.0,OnlookerBee,0.0,0.0
61,,0,8,[ 2.92374599 -0.72376552],8600.803303061428,8600.803303061428,1,2,,2.8848648071289062e-05,2.0,OnlookerBee,0.0,0.0
62,,0,8,[ 3.71740342 -0.72376552],21156.843674677275,8600.803303061428,1,2,,2.574920654296875e-05,3.0,OnlookerBee,0.0,0.0
63,,-,9,[ 23.34052087 -27.80189347],32785491.775612883,32785491.775612883,1,2,,3.1948089599609375e-05,0.0,EmployeeBee,0.0,0.0
64,,-,9,[-28.83318537   1.24459528],68908816.39935616,58840776.22152015,1,2,,2.8848648071289062e-05,1.0,EmployeeBee,0.0,0.0
65,,-,9,[  8.87799632 -25.64996292],1091434.6950163518,1091434.6950163518,1,2,,2.7894973754882812e-05,2.0,EmployeeBee,0.0,0.0
66,,2,9,[ 8.87799632 -6.47849608],727625.2526683126,727625.2526683126,1,2,,2.8133392333984375e-05,0.0,OnlookerBee,0.0,0.0
67,,2,9,[  8.87799632 -13.6675007 ],855433.9893795177,727625.2526683126,1,2,,2.8848648071289062e-05,1.0,OnlookerBee,0.0,0.0
68,,2,9,[  8.87799632 -14.91074364],878585.1473301639,727625.2526683126,1,2,,3.1948089599609375e-05,2.0,OnlookerBee,0.0,0.0
69,,2,9,[  8.87799632 -16.51700869],908954.0600671002,727625.2526683126,1,2,,4.696846008300781e-05,3.0,OnlookerBee,0.0,0.0
70,,-,10,[ 30.         -27.80189347],86082476.35193503,32785491.775612883,1,2,,3.790855407714844e-05,0.0,EmployeeBee,0.0,0.0
71,,-,10,[-15.38396281 -14.2431411 ],6295823.785761072,6295823.785761072,1,2,,3.6716461181640625e-05,1.0,EmployeeBee,0.0,0.0
72,,-,10,[-1.00665114 18.31484872],29938.22446420031,29938.22446420031,1,2,,3.814697265625e-05,2.0,EmployeeBee,0.0,0.0
73,,2,10,[-1.00665114 18.50647115],30604.96755888154,29938.22446420031,1,2,,3.3855438232421875e-05,0.0,OnlookerBee,0.0,0.0
74,,2,10,[-0.45355543 18.31484872],32796.19417856661,29938.22446420031,1,2,,3.218650817871094e-05,1.0,OnlookerBee,0.0,0.0
75,,2,10,[-1.00665114 29.92901415],83615.61007017495,29938.22446420031,1,2,,2.9087066650390625e-05,2.0,OnlookerBee,0.0,0.0
76,,2,10,[-1.00665114 22.57457389],46492.67919463337,29938.22446420031,1,2,,2.9087066650390625e-05,3.0,OnlookerBee,0.0,0.0
77,,-,11,[ 30.         -27.80189347],86082476.35193503,32785491.775612883,1,2,,3.1948089599609375e-05,0.0,EmployeeBee,0.0,0.0
78,,-,11,[-15.39846386 -14.2431411 ],6318244.257997102,6295823.785761072,1,2,,3.790855407714844e-05,1.0,EmployeeBee,0.0,0.0
79,,-,11,[-4.80489562  1.76659863],45489.741908525575,45489.741908525575,1,2,,3.981590270996094e-05,2.0,EmployeeBee,0.0,0.0
80,,2,11,[-4.80489562  2.36084415],42991.14147148654,42991.14147148654,1,2,,3.314018249511719e-05,0.0,OnlookerBee,0.0,0.0
81,,2,11,[-4.80489562  1.49880878],46638.791655779416,42991.14147148654,1,2,,3.62396240234375e-05,1.0,OnlookerBee,0.0,0.0
82,,2,11,[-4.80489562  3.45862274],38561.10240994173,38561.10240994173,1,2,,3.3855438232421875e-05,2.0,OnlookerBee,0.0,0.0
83,,2,11,[-8.57356413  3.45862274],490755.18465148273,38561.10240994173,1,2,,3.409385681152344e-05,3.0,OnlookerBee,0.0,0.0
